subsystem,route,page/component,form,field,DB column,current semantic meaning,classification,current source,current trust,target source,editable,defaultable,server authoritative,offline impact,historical migration behavior,implementation ticket
Station Inventory v2,"PUT /api/v2/station-inventory/{station}/item/{item}",Inventory form,Inventory update,stationId,inventory and audit station IDs,Station capability,Context,PIN plus signed canonical station,Medium,"DevicePrincipal/StationWorkContext plus human session",No,Yes,Yes,"Device lease may survive; human overlay must reauth","Preserve existing audit rows",F03
TRT Inventory,"POST /api/public/trt-inventory/submit",TrtInventoryWizard,TRT submission,user_id,trt_inventory_sessions.user_id,Optional submitter,Actor,Request::user on public route,Low-null,"AuthenticatedMemberContext.user",No,Yes,Yes,"Add client UUID/hash and affinity","Preserve historical nulls",F03
Personnel Requests,Employee panel,PersonnelEquipmentRequestPage,Personnel request,requester_employee_id,personnel_requests.requester_employee_id,Submitting officer,Actor,Employee guard,High but legacy guard,"AuthenticatedMemberContext.employee",No,Yes,Yes,Online initially,"Preserve requester FK/snapshot",G02
Personnel Requests,Employee panel,PersonnelEquipmentRequestPage,Personnel request,beneficiary_employee_id,personnel_requests.beneficiary_employee_id,Member receiving equipment,Subject,Separate employee picker,High semantic pattern,"Authorized Employee subject selection",Yes,Yes,Yes,Online initially,"Preserve beneficiary FK/snapshot",G02
Personnel Requests,Admin workflow,PersonnelRequestResource,Workflow response,changed_by_employee_id,personnel_request_events.changed_by_employee_id,Workflow reviewer,Reviewer,Employee/admin workflow context,Medium,"AuthenticatedMemberContext employee plus ability",No,Yes,Yes,Online only,"Preserve events",G02
Operational Forms,Employee panel,OperationalForms,Form record,employee_id,operational_form_records.employee_id,Record owner/preparer currently,Actor or Subject requires form classification,Employee guard,Medium,"Context Actor plus explicit subject/preparer fields per form",Conditional,Yes,Yes,"Offline only after per-form classification","No bulk semantic rewrite; preserve record ownership",G03
Operational Forms,Document route,OperationalForms,Document generation,created_by_employee_id,operational_form_documents.created_by_employee_id,Document creator,Actor,Employee guard,Medium,"AuthenticatedMemberContext.employee",No,Yes,Yes,"Queue job stores actor snapshot and auth decision","Preserve document provenance",G03
Apparatus Service,Employee panel,ApparatusServiceRequestPage,Service request,requested_by_employee_id,apparatus_service_tickets.requested_by_employee_id,Submitting member,Actor,Employee guard,High but legacy guard,"AuthenticatedMemberContext.employee",No,Yes,Yes,Online initially,"Preserve requester FK/snapshot",G02
Workgroups,Workgroup panel,WorkgroupContext,Selected workgroup,workgroups.active_workgroup_id,session key,Current authorization scope,Context,Server session selection validated against active membership,High,"AuthenticatedMemberContext.workgroup",Yes,Yes,Yes,"No offline authority; revalidate at sync","Preserve membership/history",E02
Video Conferencing,Employee routes,Conference controls,Conference creation,created_by_employee_id,video_conference_sessions.created_by_employee_id,Conference creator,Actor,Employee guard,High but legacy guard,"AuthenticatedMemberContext.employee",No,Yes,Yes,Online only,"Preserve session history",G04
Display APIs,/api/display/*,Command display,Read-only display,X-Display-Token,no human DB column,Service caller,Device/Service,Shared service token,Medium,"Per-device least-privilege principal",No,Yes,Yes,Not a human offline queue,"Do not fabricate Employee actors",H03
LiveKit webhook,POST /webhooks/livekit,Webhook controller,Provider event,provider_event_id,conference event tables,External event producer,Service,Verified provider signature,High,"Verified provider principal plus idempotent event",No,Yes,Yes,Provider retry only,"Preserve provider IDs/events",H03
